slice_num,is_special_z0,z_requested_nm,z_actual_nm,n_vtk_points,n_overlap,valid_overlap_frac,nearest_fallback_frac,n_excluded,vtk_min,vtk_mean,vtk_max,vtk_range,vtk_std,fem_min,fem_mean,fem_max,fem_range,fem_std,signed_err_min,signed_err_mean,signed_err_max,abs_err_min,abs_err_mean,abs_err_max,rmse,E_L2,E_range,masked_relerr_min,masked_relerr_mean,masked_relerr_max,n_masked_included,n_masked_excluded,shape_rmse,shape_rel_l2,pearson_r,fwhm_vtk_nm,fwhm_fem_nm,fwhm_diff_nm,peak_x_vtk,peak_y_vtk,peak_x_fem,peak_y_fem,peak_loc_dx,peak_loc_dy,peak_loc_dist,pp_amp_vtk,pp_amp_fem,pp_amp_diff
22,False,22.0,25.0,3721,3721,1.0,0.0,0,-0.1171359270811081,0.0904703214764595,0.1191723570227623,0.2363082766532898,0.03769538179039955,-1.0134513570060777,-0.9914982344031276,-0.9261492096520008,0.08730214735407693,0.01886052184874329,-1.13262371402884,-1.0819685526915404,-0.8092476795292404,0.8092476795292404,1.0819685526915404,1.13262371402884,1.0834169555641933,11.054228123112582,0.23760000383996993,6.90862060594693,11.255248740108506,22.35312601126366,3433,288,0.05600313020620571,1.4856762142097315,-0.9562422604564017,64.2052001953125,99.43305695912494,35.22785676381244,0.0,0.0,-5.0,0.0,-5.0,0.0,5.0,0.236308291554451,0.08730214735407693,-0.14900614420037406
23,False,23.0,25.0,3721,3721,1.0,0.0,0,-0.1171359270811081,0.0904703214764595,0.1191723570227623,0.2363082766532898,0.03769538179039955,-1.0134513570060777,-0.9914982344031276,-0.9261492096520008,0.08730214735407693,0.01886052184874329,-1.13262371402884,-1.0819685526915404,-0.8092476795292404,0.8092476795292404,1.0819685526915404,1.13262371402884,1.0834169555641933,11.054228123112582,0.23760000383996993,6.90862060594693,11.255248740108506,22.35312601126366,3433,288,0.05600313020620571,1.4856762142097315,-0.9562422604564017,64.2052001953125,99.43305695912494,35.22785676381244,0.0,0.0,-5.0,0.0,-5.0,0.0,5.0,0.236308291554451,0.08730214735407693,-0.14900614420037406
24,False,24.0,25.0,3721,3721,1.0,0.0,0,-0.1171359270811081,0.0904703214764595,0.1191723570227623,0.2363082766532898,0.03769538179039955,-1.0134513570060777,-0.9914982344031276,-0.9261492096520008,0.08730214735407693,0.01886052184874329,-1.13262371402884,-1.0819685526915404,-0.8092476795292404,0.8092476795292404,1.0819685526915404,1.13262371402884,1.0834169555641933,11.054228123112582,0.23760000383996993,6.90862060594693,11.255248740108506,22.35312601126366,3433,288,0.05600313020620571,1.4856762142097315,-0.9562422604564017,64.2052001953125,99.43305695912494,35.22785676381244,0.0,0.0,-5.0,0.0,-5.0,0.0,5.0,0.236308291554451,0.08730214735407693,-0.14900614420037406
25,False,25.0,25.0,3721,3721,1.0,0.0,0,-0.1171359270811081,0.0904703214764595,0.1191723570227623,0.2363082766532898,0.03769538179039955,-1.0134513570060777,-0.9914982344031276,-0.9261492096520008,0.08730214735407693,0.01886052184874329,-1.13262371402884,-1.0819685526915404,-0.8092476795292404,0.8092476795292404,1.0819685526915404,1.13262371402884,1.0834169555641933,11.054228123112582,0.23760000383996993,6.90862060594693,11.255248740108506,22.35312601126366,3433,288,0.05600313020620571,1.4856762142097315,-0.9562422604564017,64.2052001953125,99.43305695912494,35.22785676381244,0.0,0.0,-5.0,0.0,-5.0,0.0,5.0,0.236308291554451,0.08730214735407693,-0.14900614420037406
26,False,26.0,26.0,3721,3721,1.0,0.0,0,-0.10992217808961868,0.08824659138917923,0.11655767261981964,0.22647985816001892,0.03672783821821213,-1.0147479253969494,-0.9931600234863803,-0.92989526725524,0.08485265814170939,0.018428523152130578,-1.131305598016769,-1.081406612093606,-0.8200848932757677,0.8200848932757677,1.081406612093606,1.131305598016769,1.0827859516560778,11.328051161698964,0.23746162080080735,7.460595373275437,11.499555591136891,22.26057346625217,3417,304,0.05463658512936282,1.4876070219699928,-0.9578427373887376,65.59437561035156,100.32226419316348,34.727888582811914,0.0,0.0,-5.0,0.0,-5.0,0.0,5.0,0.22647985816001892,0.08485265814170939,-0.14162720001830953
27,False,27.0,27.0,3721,3721,1.0,0.0,0,-0.103380486369133,0.08602303266525269,0.11394746601581573,0.21732795238494873,0.03579741343855858,-1.016047640633334,-0.9948217674815455,-0.9335977027008685,0.08244993793246558,0.017997304119970206,-1.1299951066491498,-1.08084479692684,-0.8302172163317355,0.8302172163317355,1.08084479692684,1.1299951066491498,1.0821584162094333,11.614366733266438,0.23732399841658428,8.03069559343473,11.796856272818859,22.97669251674424,3413,308,0.05330443457999533,1.4890583197943517,-0.959248457583618,66.92169189453125,101.25038671503432,34.328694820503074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21732795238494873,0.08244993793246558,-0.13487801445248315
28,False,28.0,28.0,3721,3721,1.0,0.0,0,-0.09745229035615921,0.08379964530467987,0.11134172230958939,0.2087940126657486,0.03490200266242027,-1.0173559853544922,-0.9964832669862469,-0.9371883340363507,0.08016765131814152,0.017566978368566584,-1.1286890781793084,-1.0802829069102025,-0.8397360436801915,0.8397360436801915,1.0802829069102025,1.1286890781793084,1.081533944731345,11.914137706986743,0.23718704797951595,8.616893873003963,12.041999637539798,22.73043300638744,3389,332,0.05200494814065365,1.490027486985305,-0.9604650306798689,68.1906967163086,102.06301112967711,33.872314413368514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087940275669098,0.08016765131814152,-0.12862637624876827
29,False,29.0,29.0,3721,3721,1.0,0.0,0,-0.09208593517541885,0.08157641440629959,0.1087404191493988,0.20082634687423706,0.034039683640003204,-1.0186866464807198,-0.998144553398147,-0.940778965371833,0.0779076811088868,0.017137388633731085,-1.127399423976104,-1.0797209717865326,-0.8486930301964142,0.8486930301964142,1.0797209717865326,1.127399423976104,1.0809123578764015,12.22841334515679,0.2370507301580503,9.216315483789122,12.294571325898128,22.346227148641425,3361,360,0.050736067047784494,1.4904975493252184,-0.9614774913165258,69.4039306640625,102.9104674064038,33.5065367423413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20082634687423706,0.0779076811088868,-0.12291866576535027
30,False,30.0,30.0,3721,3721,1.0,0.0,0,-0.20473577082157135,-0.03814663738012314,-0.01135645154863596,0.19337931275367737,0.0332086943089962,-1.0200173076069476,-0.9998059596930163,-0.9444439806398959,0.07557332696705177,0.016707899809198477,-1.008633330819619,-0.9616593243101934,-0.7397082098183245,0.7397082098183245,0.9616593243101934,1.008633330819619,0.9629322246112414,19.039120738710277,0.21117696108615647,3.612989595565034,12.623238144313403,21.51202560819064,897,2824,0.04949558705172255,1.4904406098015643,-0.9622841775246411,70.6198501586914,103.8766195779158,33.2567694192244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19337932765483856,0.07557332696705177,-0.1178060006877868
31,False,31.0,31.0,3721,3721,1.0,0.0,0,-0.3173293173313141,-0.15812602639198303,-0.13174830377101898,0.1855810135602951,0.03231362625956535,-1.0213479687331755,-1.0015198982560944,-0.9476495717935391,0.07369839693963631,0.016373901194193363,-0.8895884677218726,-0.8433938783035275,-0.6303202544622251,0.6303202544622251,0.8433938783035275,0.8895884677218726,0.844775498079634,5.234244718834602,0.1852644640244795,1.9863284608025247,5.543309946572768,6.752181563323912,3721,0,0.048295012121630995,1.4945711930683625,-0.9640266212055801,71.98164367675781,104.62133355283935,32.63968987608153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1855810135602951,0.07369839693963631,-0.11188261662065879
32,False,32.0,32.0,3721,3721,1.0,0.0,0,-0.3128587305545807,-0.16060523688793182,-0.1346357762813568,0.17822295427322388,0.031447410583496094,-1.0227276296930439,-1.003234557756805,-0.9508551629471825,0.07187246674586134,0.01603807312154407,-0.8880918534116871,-0.8426293195433465,-0.6379964323926018,0.6379964323926018,0.8426293195433465,0.8880918534116871,0.8439457015995413,5.156856193016405,0.18508248455125464,2.0392476542421383,5.439334079536525,6.596254561312039,3721,0,0.04711875522824269,1.4983350705858547,-0.9656056251561028,73.2980728149414,105.36709191152526,32.06901909658386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17822295427322388,0.07187246674586134,-0.10635048752736254
33,False,33.0,33.0,3721,3721,1.0,0.0,0,-0.30878809094429016,-0.16308429837226868,-0.13751886785030365,0.1712692230939865,0.03060857765376568,-1.0241196287151026,-1.004949841363561,-0.9540607541008258,0.07005887461427684,0.015700948741643052,-0.886600760864799,-0.8418655483414539,-0.6452726631565356,0.6452726631565356,0.8418655483414539,0.886600760864799,0.8431195077555156,5.0811199054431615,0.18490129515828374,2.0896941367889483,5.339432962056296,6.447120854935408,3721,0,0.04596632325568452,1.5017465522622284,-0.9670512881575016,74.57413482666016,106.08429889750754,31.51016407084738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712692230939865,0.07005887461427684,-0.10121034847970967
34,False,34.0,34.0,3721,3721,1.0,0.0,0,-0.305085152387619,-0.1655631959438324,-0.14039763808250427,0.16468751430511475,0.029795760288834572,-1.0255116277371616,-1.006665329693529,-0.9572663452544691,0.06824528248269257,0.015363636213722297,-0.8851139896546574,-0.8411021437291898,-0.6521811928668501,0.6521811928668501,0.8411021437291898,0.8851139896546574,0.842296401499073,5.007024983061982,0.1847207828922655,2.1377021718783484,5.243358336447614,6.304336751979564,3721,0,0.04483761582030029,1.5048321888760252,-0.9683693190291921,75.81436920166016,106.77626612507595,30.961896923415793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16468751430511475,0.06824528248269257,-0.09644223182242218
35,False,35.0,35.0,3721,3721,1.0,0.0,0,-0.3017207384109497,-0.1680418998003006,-0.14327208697795868,0.15844865143299103,0.029007693752646446,-1.0269036267592204,-1.0083807002488796,-0.9604719364105699,0.06643169034865049,0.01502625561643564,-0.8836315397812617,-0.8403387835531211,-0.6587511979996202,0.6587511979996202,0.8403387835531211,0.8836315397812617,0.8414759279102635,4.934554786895348,0.18454084798645612,2.1833142841589757,5.150881227577342,6.167506584288129,3721,0,0.04373175172457692,1.507591419653858,-0.9695755635736222,77.02297973632812,107.47814294164743,30.45516320531931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844865143299103,0.06643169034865049,-0.09201696108434054
36,False,36.0,36.0,3721,3721,1.0,0.0,0,-0.2986685335636139,-0.17052048444747925,-0.14614224433898926,0.15252628922462463,0.028243208304047585,-1.0282956257812792,-1.010094842142544,-0.9635411808573322,0.064754444923947,0.014690279339698334,-0.8821533814422899,-0.8395743549639192,-0.6648726472937183,0.6648726472937183,0.8395743549639192,0.8821533814422899,0.8406569396892386,4.863685090721874,0.1843612388309403,2.226122180869469,5.061786674523406,6.036265457892249,3721,0,0.04264965104892484,1.5100852474886945,-0.9707260757748037,78.2037353515625,108.02705943654988,29.823324084987377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15252628922462463,0.064754444923947,-0.08777184430067764
