slice_num,z_nm,n_points,vtk_phi_min,vtk_phi_mean,vtk_phi_max,fem_phi_min,fem_phi_mean,fem_phi_max,abs_err_min,abs_err_mean,abs_err_max,rel_err_min,rel_err_mean,rel_err_max
337,480.0,3721,-0.9148287,-0.914824,-0.91481954,-1.7513339288514962,-1.751331149067644,-1.7513283568295408,-0.836514390258204,-0.8365071424486684,-0.8364996391209532,0.9143784218057465,0.9143913325524134,0.9144037211366329
338,485.0,3721,-0.9148287,-0.914824,-0.91481954,-1.7513339288514962,-1.751331149067644,-1.7513283568295408,-0.836514390258204,-0.8365071424486684,-0.8364996391209532,0.9143784218057465,0.9143913325524134,0.9144037211366329
339,490.0,3721,-0.95894325,-0.95894015,-0.9589372,-1.7848604009497884,-1.7848585572693896,-1.7848567338079346,-0.8259231732238057,-0.8259183737393013,-0.8259134860128297,0.8612746248663306,0.86128247405881,0.8612901338520295
340,495.0,3721,-0.95894325,-0.95894015,-0.9589372,-1.7848604009497884,-1.7848585572693896,-1.7848567338079346,-0.8259231732238057,-0.8259183737393013,-0.8259134860128297,0.8612746248663306,0.86128247405881,0.8612901338520295
341,500.0,3721,-0.95894325,-0.95894015,-0.9589372,-1.7848604009497884,-1.7848585572693896,-1.7848567338079346,-0.8259231732238057,-0.8259183737393013,-0.8259134860128297,0.8612746248663306,0.86128247405881,0.8612901338520295
342,505.0,3721,-0.95894325,-0.95894015,-0.9589372,-1.7848604009497884,-1.7848585572693896,-1.7848567338079346,-0.8259231732238057,-0.8259183737393013,-0.8259134860128297,0.8612746248663306,0.86128247405881,0.8612901338520295
343,510.0,3721,-1.0030584,-1.0030564,-1.0030544,-1.8183871947149484,-1.8183859727218121,-1.8183847466240506,-0.8153328142980782,-0.8153296219717718,-0.8153263130913357,0.8128402950761331,0.8128452816878196,0.812850060989939
344,515.0,3721,-1.0030584,-1.0030564,-1.0030544,-1.8183871947149484,-1.8183859727218121,-1.8183847466240506,-0.8153328142980782,-0.8153296219717718,-0.8153263130913357,0.8128402950761331,0.8128452816878196,0.812850060989939
345,520.0,3721,-1.0030584,-1.0030564,-1.0030544,-1.8183871947149484,-1.8183859727218121,-1.8183847466240506,-0.8153328142980782,-0.8153296219717718,-0.8153263130913357,0.8128402950761331,0.8128452816878196,0.812850060989939
346,525.0,3721,-1.0030584,-1.0030564,-1.0030544,-1.8183871947149484,-1.8183859727218121,-1.8183847466240506,-0.8153328142980782,-0.8153296219717718,-0.8153263130913357,0.8128402950761331,0.8128452816878196,0.812850060989939
347,530.0,3721,-1.0471739,-1.0471725,-1.0471712,-1.8519142609801134,-1.8519134409822477,-1.851912632733405,-0.8047430258955797,-0.8047409282022324,-0.8047387750445012,0.7684863111656999,0.7684893543154635,0.7684922951790365
348,535.0,3721,-1.0471739,-1.0471725,-1.0471712,-1.8519142609801134,-1.8519134409822477,-1.851912632733405,-0.8047430258955797,-0.8047409282022324,-0.8047387750445012,0.7684863111656999,0.7684893543154635,0.7684922951790365
349,540.0,3721,-1.0471739,-1.0471725,-1.0471712,-1.8519142609801134,-1.8519134409822477,-1.851912632733405,-0.8047430258955797,-0.8047409282022324,-0.8047387750445012,0.7684863111656999,0.7684893543154635,0.7684922951790365
350,545.0,3721,-1.0471739,-1.0471725,-1.0471712,-1.8519142609801134,-1.8519134409822477,-1.851912632733405,-0.8047430258955797,-0.8047409282022324,-0.8047387750445012,0.7684863111656999,0.7684893543154635,0.7684922951790365
351,550.0,3721,-1.0912895,-1.0912887,-1.0912879,-1.8854414565168722,-1.8854409113014265,-1.8854403847337333,-0.7941536051832541,-0.7941522412969713,-0.7941508644700614,0.7277178509678923,0.7277196796097339,0.7277214753309601
352,555.0,3721,-1.0912895,-1.0912887,-1.0912879,-1.8854414565168722,-1.8854409113014265,-1.8854403847337333,-0.7941536051832541,-0.7941522412969713,-0.7941508644700614,0.7277178509678923,0.7277196796097339,0.7277214753309601
353,560.0,3721,-1.0912895,-1.0912887,-1.0912879,-1.8854414565168722,-1.8854409113014265,-1.8854403847337333,-0.7941536051832541,-0.7941522412969713,-0.7941508644700614,0.7277178509678923,0.7277196796097339,0.7277214753309601
354,565.0,3721,-1.0912895,-1.0912887,-1.0912879,-1.8854414565168722,-1.8854409113014265,-1.8854403847337333,-0.7941536051832541,-0.7941522412969713,-0.7941508644700614,0.7277178509678923,0.7277196796097339,0.7277214753309601
355,570.0,3721,-1.1354054,-1.1354047,-1.1354042,-1.9189687462208482,-1.9189683839143736,-1.9189680402504299,-0.7835645170567247,-0.783563557262142,-0.7835626189934108,0.6901170316114227,0.690118219395512,0.6901194278918437
356,575.0,3721,-1.1354054,-1.1354047,-1.1354042,-1.9189687462208482,-1.9189683839143736,-1.9189680402504299,-0.7835645170567247,-0.783563557262142,-0.7835626189934108,0.6901170316114227,0.690118219395512,0.6901194278918437
357,580.0,3721,-1.1354054,-1.1354047,-1.1354042,-1.9189687462208482,-1.9189683839143736,-1.9189680402504299,-0.7835645170567247,-0.783563557262142,-0.7835626189934108,0.6901170316114227,0.690118219395512,0.6901194278918437
358,585.0,3721,-1.1354054,-1.1354047,-1.1354042,-1.9189687462208482,-1.9189683839143736,-1.9189680402504299,-0.7835645170567247,-0.783563557262142,-0.7835626189934108,0.6901170316114227,0.690118219395512,0.6901194278918437
359,590.0,3721,-1.1795213,-1.179521,-1.1795206,-1.9524961023330216,-1.952495857149441,-1.9524956300737102,-0.7729754953383927,-0.772974877693861,-0.772974307823344,0.6553288128345269,0.6553294864248242,0.6553302170005348
360,595.0,3721,-1.1795213,-1.179521,-1.1795206,-1.9524961023330216,-1.952495857149441,-1.9524956300737102,-0.7729754953383927,-0.772974877693861,-0.772974307823344,0.6553288128345269,0.6553294864248242,0.6553302170005348
361,600.0,3721,-1.1795213,-1.179521,-1.1795206,-1.9524961023330216,-1.952495857149441,-1.9524956300737102,-0.7729754953383927,-0.772974877693861,-0.772974307823344,0.6553288128345269,0.6553294864248242,0.6553302170005348
362,605.0,3721,-1.1795213,-1.179521,-1.1795206,-1.9524961023330216,-1.952495857149441,-1.9524956300737102,-0.7729754953383927,-0.772974877693861,-0.772974307823344,0.6553288128345269,0.6553294864248242,0.6553302170005348
363,610.0,3721,-1.2236373,-1.223637,-1.2236369,-1.9860233933555793,-1.9860232284997699,-1.9860230785907922,-0.7623865277397346,-0.7623860982591653,-0.7623857361377893,0.6230487659108611,0.6230491699032426,0.6230496556313158
364,615.0,3721,-1.2236373,-1.223637,-1.2236369,-1.9860233933555793,-1.9860232284997699,-1.9860230785907922,-0.7623865277397346,-0.7623860982591653,-0.7623857361377893,0.6230487659108611,0.6230491699032426,0.6230496556313158
365,620.0,3721,-1.2236373,-1.223637,-1.2236369,-1.9860233933555793,-1.9860232284997699,-1.9860230785907922,-0.7623865277397346,-0.7623860982591653,-0.7623857361377893,0.6230487659108611,0.6230491699032426,0.6230496556313158
